model_year,brand,type,miles_per_gallon,premium_version,msrp,collection_car
2016,Toyota,SUV,13.0,1,84900.0,0
2014,RAM,Van,15.0,0,35000.0,0
2002,Ford,Coupe,16.0,0,26250.0,0
2012,BMW,Sedan,27.0,1,45000.0,0
2008,Mercedes-Benz,Convertible,18.0,1,100000.0,1
2008,Lexus,SUV,18.0,0,38000.0,0
2013,Chevrolet,Van,12.0,0,30000.0,0
2021,Mercedes-Benz,SUV,13.0,1,157000.0,1
2014,Ford,Pickup,17.0,0,31000.0,0
2017,Ford,Sedan,23.0,0,23000.0,0
2016,Audi,Sedan,25.0,1,68900.0,0
2019,Chevrolet,Sedan,28.0,0,33995.0,0
2020,Lexus,Coupe,19.0,0,92600.0,0
2013,Audi,Sedan,22.0,1,39400.0,0
2023,Porsche,Coupe,22.0,1,116000.0,1
2018,Ford,Minivan,24.0,0,23460.0,0
2018,Audi,Sedan,25.0,1,62000.0,0
2017,Genesis,Sedan,20.0,1,60500.0,0
2021,Ford,Pickup,20.0,1,55000.0,0
2004,Hummer,SUV,10.0,0,50000.0,0
2022,Mazda,SUV,25.0,0,45000.0,0
2020,Land,SUV,17.0,1,57900.0,0
2016,Mercedes-Benz,SUV,13.0,1,123600.0,1
2008,Honda,SUV,18.0,0,32000.0,0
2022,Ford,SUV,20.0,1,67535.0,0
2015,Land,SUV,22.0,0,36450.0,0
2016,Ford,Pickup,18.0,1,40000.0,0
2009,Toyota,SUV,17.0,0,24000.0,0
2014,Jeep,SUV,21.0,0,23945.0,0
2013,Porsche,Coupe,20.0,1,100000.0,1
2011,BMW,Coupe,14.0,1,61900.0,1
2018,Chevrolet,Pickup,20.0,1,35000.0,0
2022,Jaguar,SUV,21.0,1,75000.0,0
2018,RAM,Pickup,12.0,0,35000.0,0
2016,Mercedes-Benz,Sedan,19.0,1,143000.0,1
2020,Mercedes-Benz,Sedan,20.0,1,84000.0,0
2021,Porsche,Coupe,20.0,0,99900.0,1
2017,BMW,Sedan,22.0,1,83000.0,0
2020,Ford,SUV,21.0,1,45000.0,0
2012,Lexus,Sedan,16.0,1,71900.0,0
2018,Ford,Pickup,20.0,0,28740.0,0
2016,Lincoln,SUV,21.0,1,49000.0,0
2019,Nissan,SUV,26.0,0,28500.0,0
2018,Ford,Pickup,20.0,0,35000.0,0
2014,BMW,Sedan,20.0,1,60000.0,0
2008,Saturn,Convertible,22.0,1,28100.0,0
2018,Cadillac,Sedan,18.0,1,60000.0,0
2016,Audi,Sedan,25.0,0,52500.0,0
2019,Kia,Sedan,20.0,1,52000.0,0
2018,Land,SUV,18.0,1,130000.0,0
2016,Land,SUV,22.0,1,85000.0,0
2022,Land,SUV,18.0,1,104000.0,0
2018,Toyota,SUV,13.0,1,62800.0,0
2018,Mercedes-Benz,SUV,25.0,0,40000.0,0
2022,Mercedes-Benz,SUV,13.0,1,157900.0,1
2015,Mercedes-Benz,Sedan,24.0,1,39000.0,0
2010,Chevrolet,Coupe,16.0,1,31895.0,0
2019,Ford,Pickup,17.0,1,72000.0,0
2013,Toyota,Pickup,21.0,0,22000.0,0
2015,Cadillac,SUV,16.0,1,80000.0,0
2021,Chevrolet,Coupe,17.0,1,65000.0,1
2016,Lexus,SUV,15.0,1,55000.0,0
2020,Lincoln,SUV,18.0,1,82995.0,0
2017,Chevrolet,SUV,22.0,1,60000.0,0
2020,Land,SUV,18.0,1,100000.0,0
2017,Mercedes-Benz,Sedan,25.0,1,40000.0,0
2021,Mercedes-Benz,Sedan,22.0,1,62700.0,0
2022,Ford,Pickup,20.0,1,45000.0,0
2018,Nissan,SUV,14.0,1,61000.0,0
2016,Land,SUV,24.0,1,52000.0,0
2020,Toyota,Coupe,24.0,0,29000.0,0
2019,Audi,Sedan,29.0,0,36300.0,0
2014,Audi,Coupe,18.0,1,61000.0,0
2014,Ford,Pickup,18.0,1,45000.0,0
2013,Lexus,Sedan,19.0,0,72000.0,0
2020,Mercedes-Benz,Sedan,24.0,1,55000.0,0
2014,Mercedes-Benz,Convertible,19.0,1,104000.0,0
2021,Ford,Pickup,20.0,1,59745.0,0
2020,Maserati,Coupe,24.0,0,210000.0,1
2022,Lincoln,SUV,18.0,1,83960.0,0
2021,Land,SUV,17.0,1,85000.0,1
2023,Chevrolet,Coupe,15.0,0,63900.0,1
2011,BMW,Sedan,20.0,1,80000.0,0
2015,Volkswagen,Hatchback,25.0,0,28900.0,0
2022,Dodge,Coupe,13.0,1,84995.0,1
2008,Volkswagen,Sedan,22.0,1,25000.0,0
2021,Dodge,SUV,14.0,1,63490.0,0
2019,Mercedes-Benz,SUV,13.0,1,156450.0,1
2016,Cadillac,SUV,17.0,1,90000.0,0
2011,RAM,Pickup,11.0,0,35000.0,0
2001,Dodge,Pickup,15.0,0,25000.0,0
2020,Lexus,SUV,24.0,1,41000.0,0
2015,Subaru,SUV,26.0,0,31995.0,0
2007,Volkswagen,Hatchback,24.0,0,23000.0,0
2017,Jeep,SUV,18.0,1,38000.0,0
2014,Lexus,SUV,24.0,1,45900.0,0
2021,Ford,SUV,17.0,1,70155.0,0
2023,Land,SUV,18.0,1,82000.0,0
2014,Chevrolet,SUV,16.0,1,60940.0,0
2012,BMW,Sedan,22.0,0,35000.0,0
2007,BMW,Coupe,16.0,1,57900.0,1
2016,Audi,Coupe,26.0,1,49000.0,0
2017,Chevrolet,Coupe,18.0,1,42995.0,0
2005,Ford,SUV,12.0,1,58270.0,0
2018,Chrysler,Sedan,23.0,0,25000.0,0
2013,Audi,SUV,20.0,1,45000.0,0
2023,Maserati,Coupe,20.0,1,215000.0,1
2018,Toyota,Pickup,21.0,0,33500.0,0
2014,Hyundai,Sedan,29.0,0,15000.0,0
2020,Maserati,Sedan,20.0,1,103000.0,0
2018,BMW,Coupe,20.0,1,68800.0,1
2022,RAM,Pickup,22.0,1,45000.0,0
2009,Ford,SUV,20.0,0,30000.0,0
2012,Lexus,Sedan,19.0,0,66500.0,0
2010,Mitsubishi,Sedan,26.0,0,17999.0,0
2000,Jaguar,Sedan,18.0,0,60000.0,0
2017,Lexus,SUV,15.0,0,52905.0,0
2004,Ford,Pickup,15.0,0,29500.0,0
2021,Mercedes-Benz,SUV,24.0,0,43000.0,0
2008,Honda,Sedan,30.0,0,19000.0,0
2014,BMW,Coupe,18.0,1,113000.0,1
2017,Mazda,Sedan,26.0,1,35000.0,0
2020,Mercedes-Benz,Sedan,15.0,1,162900.0,1
2021,BMW,Coupe,16.0,1,73800.0,1
2019,Ford,Pickup,20.0,1,40000.0,0
2016,Mercedes-Benz,SUV,13.0,1,150000.0,1
2008,BMW,Coupe,14.0,1,57800.0,1
2007,Mazda,Convertible,22.0,1,27800.0,0
2017,Chevrolet,SUV,18.0,1,75800.0,0
2022,Ford,SUV,18.0,1,76000.0,0
2015,Chevrolet,SUV,22.0,1,70000.0,0
2010,Hyundai,Coupe,18.0,1,31900.0,0
2013,Chrysler,Sedan,19.0,0,30000.0,0
2011,Mercedes-Benz,SUV,14.0,1,59500.0,0
2019,Land,SUV,20.0,1,66850.0,0
2007,Volkswagen,Sedan,20.0,0,28000.0,0
2007,Jeep,SUV,20.0,0,24000.0,0
2014,Audi,Sedan,18.0,1,50000.0,0
2021,Porsche,Coupe,18.0,1,207000.0,1
2019,Cadillac,SUV,14.0,1,89995.0,0
